stop_date,start_date,duration_time,success_time,success_rate,no_of_stacks,result
2018-06-12 08:37:35.231203,2018-06-12 07:19:17.199879,3642,0,0,20,0
2018-06-05 19:57:03.859611,2018-06-05 18:52:57.045312,249,0,0,20,0
2018-06-04 06:42:42.771673,2018-06-04 05:57:38.588283,2530,0,0,20,0
2018-06-03 22:42:58.324607,2018-06-03 21:16:41.039256,5055,0,0,20,0
2018-06-03 03:43:02.193609,2018-06-03 03:36:52.255331,151,0,0,20,0
2018-06-02 11:13:26.987184,2018-06-02 09:59:31.175204,4089,0,0,20,0
2018-06-02 07:10:31.384998,2018-06-02 06:01:09.117169,6169,0,0,20,0
2018-06-01 19:17:43.053761,2018-06-01 18:15:22.109715,248,20,1,20,1
2018-06-01 06:14:48.811312,2018-06-01 05:53:44.622715,846,0,0,20,0
2018-05-31 08:54:43.061508,2018-05-31 08:48:23.675772,181,0,0,20,0
2018-05-28 18:34:15.694156,2018-05-28 17:32:00.538075,3557,1,0.05,20,0
2018-05-28 08:24:28.903710,2018-05-28 07:20:16.187127,3612,0,0,20,0
2018-05-28 05:29:48.855658,2018-05-28 04:53:05.395404,1933,1,0.05,20,0
2018-05-27 05:49:04.211592,2018-05-27 04:57:39.065816,2815,1,0.05,20,0
2018-05-26 18:16:47.511078,2018-05-26 17:29:02.301153,2683,0,0,20,0
2018-05-26 09:56:31.538117,2018-05-26 09:41:49.023643,156,0,0,20,0
2018-05-25 06:35:24.799298,2018-05-25 06:00:10.973774,1370,0,0,20,0
2018-05-24 12:13:19.969225,2018-05-24 10:42:23.545060,3619,0,0,20,0
2018-05-23 23:58:40.609185,2018-05-23 22:56:13.968474,3617,0,0,20,0
2018-05-23 08:36:38.269243,2018-05-23 06:01:15.019548,6169,0,0,20,0
2018-05-22 06:35:35.830700,2018-05-22 06:00:39.713551,1370,0,0,20,0
2018-05-20 05:40:12.224691,2018-05-20 05:06:49.502478,1818,2,0.1,20,0
2018-05-19 06:10:09.601150,2018-05-19 05:59:56.056560,418,0,0,20,0
2018-05-18 07:13:59.556690,2018-05-18 06:29:48.709920,2235,1,0.05,20,0
2018-05-15 06:14:57.611337,2018-05-15 05:34:03.321409,1951,0,0,20,0
2018-05-14 06:19:54.621675,2018-05-14 05:28:30.626060,2831,0,0,20,0
2018-05-12 14:37:33.777582,2018-05-12 13:34:11.581686,3631,0,0,20,0
2018-05-12 11:15:21.771518,2018-05-12 10:11:43.609772,3620,0,0,20,0
2018-05-11 04:04:50.008856,2018-05-11 03:54:49.496108,196,0,0,20,0
2018-05-10 16:25:18.152970,2018-05-10 15:24:35.706530,3074,1,0.05,20,0
2018-05-10 11:42:01.407792,2018-05-10 10:25:50.991882,4306,0,0,20,0
2018-05-10 07:14:02.030828,2018-05-10 06:10:13.215141,3636,0,0,20,0
2018-05-09 14:46:27.009333,2018-05-09 13:39:03.235890,3835,13,0.6,20,0
2018-05-09 11:14:32.431456,2018-05-09 08:10:31.887742,10799,0,0,20,0
